Comment,Designator,Footprint,LCSC Part #
,JP1,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:1X06_ROUND_70,C37208
,U$22,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:ADAFRUIT_3.5MM,
,U$25,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:PCBFEAT-REV-040,
,U$31,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:STEMMAQT,
,LCD1,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:UG-2832HSWEG02_WRAPUNDER,
0.1uF,C1,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:0603-NO,C14663
10K,"R1,R5",Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:0603-NO,C98220
10K,R3,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:RESPACK_4X0603,C98220
10uF,"C2,C3,C8,C9",Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:0805-NO,
1N4148,D2,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:SOD-323F,
1uF,"C4,C5,C6,C7",Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:0805-NO,
390K,R2,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:0603-NO,C2907030
AP2112K-3.3,U2,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:SOT23-5,
APX803,IC5,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:SOT23,
BSS138,Q2,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:SOT363,
GREEN,D1,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:CHIPLED_0603_NOOUTLINE,
STEMMA_I2C_QT,CONN4,Adafruit OLED 128x32 Mono I2C STEMMA QT rev B-import-fps:JST_SH4,C160404
